,Timeseries ID,smape,mase,mae,rmse,mape,nrmse_min_max,nrmse_mean
0,0,99.53994750976562,2.5415287,203.04225,349.26294,,0.10138245,0.50857884
1,1,118.898606300354,0.77676105,3.5812736,6.0728226,,0.113470405,0.7326503
2,2,93.81629824638367,2.1707065,632.0331,1085.4714,,0.09683986,0.4997407
3,3,123.22359085083008,1.5310669,27.653025,52.041203,,0.08292441,0.7009811
4,4,116.44474267959595,1.7584229,77.88172,143.96107,,0.08643705,0.6057884
5,5,106.0469388961792,1.4613513,508.07056,926.5799,,0.08796163,0.54863554
6,6,85.34248471260071,1.5992315,6.463646,11.043107,,0.09115536,0.4295133
7,7,85.66532731056213,0.92438227,20.98885,36.954525,,0.084618345,0.3748161
8,8,110.25840044021606,1.1279143,13.187663,22.58614,,0.094571926,0.43219998
9,9,95.38169503211975,1.8525622,39.293583,69.43339,,0.0966534,0.5274099
10,10,117.24567413330078,1.1862532,31.633837,55.534706,,0.10320038,0.63910437
11,11,94.76255178451538,1.7923452,20.145977,35.067657,,0.1070912,0.5585002
12,12,100.70632696151733,2.2528107,81.814926,139.23083,,0.114126444,0.58368057
13,13,114.5897626876831,1.3122674,10.179945,17.668398,,0.10907025,0.62335426
14,14,116.2108302116394,1.6305863,103.87025,184.24065,,0.11693542,0.64780736
15,15,113.2168173789978,2.7015035,16.039425,28.215883,,0.11247482,0.62797797
16,16,112.50495910644531,1.7041023,42.92118,73.25229,,0.10372284,0.5557346
17,17,143.53114366531372,1.3845438,61.69778,115.91634,,0.0975565,1.0869069
18,18,115.61905145645142,1.4668617,56.384315,100.030174,,0.09050858,0.6000517
19,19,100.50102472305298,2.0338347,28.16116,48.733414,,0.107952945,0.560221
20,20,103.95892858505249,2.011061,113.468636,194.08751,,0.10329732,0.5286146
21,21,125.37939548492432,,25.186504,40.125874,,0.12830466,0.77887976
22,22,121.78487777709961,2.4119318,24.472359,44.74617,,0.101313844,0.7147469
23,23,111.2712025642395,1.4034622,136.35963,242.86232,,0.09930461,0.54468125
24,24,124.75391626358032,1.8152081,9.396755,17.750547,,0.07432885,0.7920152
25,25,102.36153602600098,2.0452852,52.031517,91.02027,,0.106516756,0.52879477
26,27,99.93640780448914,2.0466762,171.89024,294.03003,,0.10177529,0.5357628
27,28,139.48686122894287,3.1670198,109.7617,329.29532,,0.08361319,1.9399353
28,29,127.32210159301758,2.468877,78.65811,148.29959,,0.11823672,1.0251992
29,30,106.48311376571655,1.5890734,93.14615,166.07272,,0.08828738,0.54092455
30,31,114.86129760742188,3.3249922,17.393686,30.863329,,0.109313406,0.6855571
31,32,111.79999113082886,1.8234211,63.570892,112.701904,,0.12173171,0.61889094
32,33,121.29851579666138,3.7374272,114.25846,235.32027,,0.10470494,0.8108573
33,34,108.46097469329834,1.8240907,31.477222,53.993313,,0.1065478,0.53746384
34,35,99.33845400810242,1.8008724,88.44817,152.10916,,0.10131829,0.5330963
35,36,114.39449787139893,1.2097259,12.979973,22.03091,,0.08857644,0.5187328
36,37,109.27836894989014,2.0278687,45.68948,82.00614,,0.08707726,0.57588637
37,38,101.0730504989624,1.7555372,30.775227,53.12022,,0.09325652,0.4543146
38,39,102.55405902862549,1.6793661,111.321915,191.5855,,0.097747296,0.46678722
39,40,118.45273971557617,1.298178,16.803015,29.515638,,0.10038514,0.58357626
40,42,80.5842638015747,1.5164734,87.08346,145.4229,,0.09395537,0.4850858
41,43,105.4386854171753,2.2704864,77.04415,134.75943,,0.11268255,0.5883476
42,45,104.23684120178223,2.5994692,392.26038,682.41644,,0.1202275,0.6297401
43,46,116.34749174118042,1.3809378,65.53433,116.913124,,0.10765155,0.6037969
44,48,92.61680841445923,1.9851451,281.0026,489.60498,,0.0929387,0.6091262
45,49,120.79365253448486,5.764687,24.03426,51.829086,,0.12039724,1.773269
46,50,102.83339023590088,1.1916945,8.297595,14.807689,,0.108050615,0.5912826
47,51,107.618248462677,1.8009566,52.73908,92.60998,,0.11635764,0.5916571
48,52,123.37890863418579,8.985625,313.39658,989.7848,,0.11278986,1.7342408
49,53,113.49755525588989,1.5524482,22.495895,38.030098,,0.10756396,0.55414027
50,54,102.37805843353271,1.95446,124.90947,212.54099,,0.1101304,0.57746804
51,55,120.10408639907837,1.15461,12.908378,22.993969,,0.09840529,0.64288825
52,56,84.06311869621277,1.5128118,166.91058,301.25946,,0.095694795,0.59301114
53,57,112.97433376312256,1.9993745,17.58583,30.905458,,0.09980836,0.59514236
54,58,97.62299060821533,2.1208608,81.20852,143.71478,,0.108649306,0.6081819
55,59,115.52479267120361,1.4782871,31.009554,55.31463,,0.11663749,0.6046317
56,60,110.13913154602051,1.3533933,69.67501,130.55153,,0.09185761,0.59915537
57,100,19.260351359844208,1.2947118,87.55873,118.946915,20.85123211145401,0.084742725,0.21671359
58,101,38.491952419281006,0.6033919,3.1189322,4.1720624,54.175156354904175,0.111032926,0.43621007
59,102,21.683724224567413,0.9951577,209.16272,280.63037,23.545479774475098,0.09781286,0.22379245
60,103,14.278538525104523,0.87399644,96.71782,137.74806,15.670230984687805,0.094507486,0.19643241
61,104,17.29755848646164,0.7150978,124.48163,176.82417,20.453186333179474,0.10842428,0.21925434
62,105,12.152491509914398,0.54427415,863.62445,1286.9353,13.495591282844543,0.10644697,0.1717583
63,106,26.668646931648254,0.96565527,3.048015,4.2605567,,0.08363873,0.31830922
64,107,23.684151470661163,0.8054038,7.858317,10.439437,,0.092961915,0.22514975
65,108,13.851431012153625,0.6564527,9.59067,12.717805,14.639447629451752,0.0919887,0.16400239
66,109,27.800685167312622,0.9508465,9.47533,12.899585,,0.1023476,0.26201946
67,110,16.207315027713776,0.23953266,68.69196,91.49184,16.88680350780487,0.12626424,0.21143013
68,111,25.989100337028503,0.9364467,6.3473296,8.524124,31.103065609931946,0.093193434,0.2730285
69,112,34.53115522861481,1.098742,17.796228,23.917368,,0.110212706,0.28859484
70,113,31.41959309577942,0.4041614,8.477276,11.552341,,0.11692771,0.39329085
71,114,21.16571217775345,0.71363926,115.20237,165.33759,28.853151202201843,0.107675314,0.23517457
72,115,31.073087453842163,1.4160558,4.498976,5.990747,40.65828323364258,0.10546347,0.30105865
73,116,28.40924561023712,0.9749679,9.226424,13.234183,32.57013559341431,0.05527948,0.3008555
74,117,40.25683104991913,0.64837974,140.04356,174.07695,,0.13973598,0.35733736
75,118,14.504513144493103,0.47939274,88.2904,126.0983,16.638557612895966,0.10331108,0.19457373
76,119,24.484872817993164,1.2121965,10.982449,14.486421,27.040353417396545,0.10217823,0.26277742
77,120,25.91584622859955,1.1720201,26.266125,34.275738,28.49648892879486,0.10351455,0.24956155
78,121,26.542219519615173,,34.27324,47.29885,42.930689454078674,0.1091926,0.29642075
79,122,27.956613898277283,0.6080084,32.9175,46.052017,,0.10791941,0.3157834
80,123,18.6721533536911,0.97929734,158.84712,229.21184,22.711442410945892,0.12117833,0.19855252
81,124,33.21378529071808,0.5724664,38.449524,51.504566,65.83678126335144,0.11835694,0.38078514
82,125,23.059621453285217,1.1134299,15.935629,21.97881,24.261990189552307,0.09525069,0.25631732
83,127,24.19155389070511,1.0325707,36.118526,48.86934,,0.09872714,0.23516114
84,128,41.84536635875702,0.7966394,113.50672,150.01596,,0.14998177,0.4122657
85,129,47.44749963283539,1.0297225,175.22603,220.42139,,0.1533666,0.43291622
86,130,13.804791867733002,0.4453408,97.47036,142.89214,15.281100571155548,0.10048235,0.19332576
87,131,26.940500736236572,1.3391039,5.230385,7.00332,33.0862432718277,0.11563503,0.28993943
88,132,27.77312994003296,0.9185484,11.704785,15.54506,,0.09927554,0.26010478
89,133,16.806820034980774,1.0498842,56.11067,77.37441,19.13556307554245,0.11323587,0.20276861
90,134,27.56344974040985,0.9090732,9.066774,12.036679,,0.088935286,0.25447387
91,135,24.605439603328705,1.0413576,25.242462,33.043983,27.08541452884674,0.10831393,0.24206066
92,136,30.161190032958984,0.39304945,9.122767,12.029606,,0.12611368,0.3042658
93,137,20.441024005413055,0.64507014,46.494595,62.26803,24.782168865203857,0.10779132,0.251725
94,138,21.392010152339935,1.0401107,7.0056577,9.255012,22.210298478603363,0.08804738,0.21471609
95,139,24.309344589710236,0.9635473,24.36916,32.614178,,0.09465347,0.22986718
96,140,24.426671862602234,1.60367,28.981752,44.809574,,0.10456114,0.32895473
97,142,14.001911878585815,0.3597091,92.35989,123.52872,15.200568735599518,0.097111784,0.16396375
98,143,23.719903826713562,1.3271595,27.377762,36.866035,26.088643074035645,0.093887694,0.25588736
99,145,26.453909277915955,1.1686277,91.57346,124.02464,,0.09609323,0.25555244
100,146,35.08796691894531,0.79459995,118.4623,158.5118,86.14774346351624,0.1413812,0.3790542
101,148,12.216973304748535,0.46696067,552.6049,770.13574,13.454598188400269,0.09684727,0.15685777
102,149,15.640091896057129,0.5266833,83.51257,110.726456,17.380890250205994,0.12815547,0.19408955
103,150,31.406092643737793,0.8399461,2.3943288,3.2699652,,0.10189029,0.31897652
104,151,27.385622262954712,0.9726954,11.874378,15.439436,,0.097939864,0.25239554
105,152,44.4178581237793,0.7585903,140.11237,384.2142,,0.82393885,1.9734217
106,153,25.069299340248108,0.9680644,6.398902,8.717705,,0.08605234,0.2639907
107,154,25.98342001438141,1.0682678,29.494097,40.08205,,0.11072114,0.26234555
108,155,34.32835638523102,1.0298594,38.732716,56.433678,,0.118611224,0.4510978
109,156,20.31170129776001,0.41574487,249.1333,344.57697,25.619807839393616,0.11510208,0.24669296
110,157,21.548159420490265,1.1034106,8.041869,10.314615,23.595739901065826,0.09244558,0.2359835
111,158,24.28348958492279,1.0443839,16.118368,21.204565,,0.08639832,0.23815486
112,159,37.5505656003952,0.7208028,20.31437,29.488705,,0.09788392,0.43296796
113,160,30.44337034225464,0.5597326,79.42608,114.57216,56.64369463920593,0.10223988,0.3651875
